       age      wage
156680  51  70.81504
158692  39  94.07271
231182  56 127.11574
306711  44  97.49329
12734   51 109.83399
229031  35  75.19963
449980  27  65.11085
160714  47 146.46284
302861  51  81.28325
230508  41 127.11574
12537   63  73.77574
450603  61  65.11085
86119   46  99.68946
448869  33  79.85490
451086  35  73.77574
154643  28  87.98103
304493  50 118.88436
303813  41 284.52474
376113  23 118.88436
86394   45 106.92181
301315  63 100.01349
232504  59 108.87453
10753   30 114.47571
157040  30 115.37504
305092  45 130.98218
12728   42  79.85490
447357  57 106.92181
159513  52  22.96240
161380  54 115.18246
14457   30 103.90247
158761  47 184.46946
154582  38 314.32934
158274  47  99.68946
378307  39 128.68049
9863    50  87.98103
155729  47  54.59815
87848   45  99.68946
305240  44 118.88436
159441  52  92.16112
80586   42 127.11574
83515   18  41.70499
231410  56 109.83399
81995   50  82.67964
232366  50 277.79948
229698  53  99.68946
449667  38 176.98965
81457   27  84.04596
83804   56 163.51586
154652  50  81.28325
159717  56 130.98218
302069  50 127.11574
13267   49  72.15046
8550    42 104.92151
449709  50 186.87668
157793  53 176.98965
302529  28 139.70307
157309  45  73.77574
451256  24  66.22941
159735  25  81.28325
85268   38 104.92151
453542  47 109.83399
158301  38 154.68529
307764  33 106.92181
231800  39 277.79948
12439   52  87.98103
7412    46  90.48191
86091   42 106.92181
159115  61  56.90554
10935   32  81.28325
447841  42 107.90392
234010  61 196.12527
453198  27  91.69923
376184  45 200.54326
160130  58  32.36641
306716  25 104.92151
304809  34 100.76427
11522   44  85.38394
306077  40  82.67964
301911  51  97.49329
155698  50 121.01083
450165  64 133.97150
159956  54 148.41316
380945  42 104.92151
301907  31  81.28325
159358  25  90.48191
233565  32 106.92181
301859  51 114.47571
302193  75  53.39535
161261  28  87.98103
451254  28  66.22941
305400  32  96.37065
233567  53 272.40323
380078  36  97.15828
80581   43 200.54326
87755   51 123.08970
13685   35  99.68946
83327   46  94.07271
159834  38  81.28325
84809   43 154.68529
87700   39 109.83399
305809  37 123.08970
380902  59  73.77574
158812  33 107.90392
306821  23  73.77574
231279  37  87.98103
12575   40  27.14058
232850  25  94.07271
379119  27 102.45356
81696   47 272.29478
378745  52  94.07271
304502  23  81.28325
80930   33  87.98103
9157    37 109.83399
377201  34  80.43021
160496  51 148.41316
306557  40 148.41316
302928  50  81.28325
7880    64 118.88436
379439  54  80.48744
155174  50  91.69923
80508   32 109.35563
81575   37 104.92151
231191  19  65.11085
232830  32  76.89360
85999   42  99.68946
450673  26  99.68946
447485  46 157.70053
453584  18  49.55534
8016    43  90.48191
160160  62 111.72085
380311  44 148.41316
11315   40 133.23235
232256  43 134.70538
80679   32 118.88436
229791  48  87.98103
450800  35 109.83399
230173  61 130.98218
228889  47  89.24288
7978    55 102.87025
374363  28  76.89360
380398  52 149.69504
452862  27 102.87025
228899  22  90.48191
232593  20  69.92913
231255  42 106.92181
306356  29  87.98103
158824  31 109.83399
380061  59 151.59148
376529  36 148.41316
304383  32  66.96164
10445   32 103.90247
229647  25  99.68946
377052  43 134.70538
380800  44  43.73511
450000  57 116.70715
233715  49 141.77517
304660  41 144.47809
233026  38 134.70538
80647   58 118.88436
87572   59 189.24416
11809   39 160.64248
233001  60  96.03166
305553  56 111.06519
379752  44 148.41316
380738  70  99.68946
447577  27  81.28325
87038   47 118.88436
154076  41 127.11574
374391  29 104.92151
449807  42 112.64890
307460  51 281.74597
449365  47 114.47752
378727  48 111.72085
156087  39 134.70538
12157   23  75.35568
301568  31 119.74085
10832   59 118.88436
160170  19  27.14058
453712  42 182.02062
87395   35  65.11085
305387  38 141.77517
229944  45 114.47571
380031  58 135.59806
231476  26 117.14682
154504  30  99.68946
231749  54 277.79948
377308  38  94.07271
8330    44  94.07271
154617  52  96.37065
87791   73  75.35568
230102  65 104.92151
157248  28  95.23071
447647  53  54.59815
231197  53  89.24288
379516  52 145.14360
451555  27  96.86670
158257  57 130.98218
81725   32  84.04596
305274  51 148.15505
379947  43  49.55534
84795   50 141.77517
83423   53 115.37504
301999  54  65.11085
305108  24  85.38394
375810  40 101.82435
153403  30  95.23071
154768  45  99.68946
302561  55 147.11669
153724  45 140.39820
84494   44 109.83399
83214   37 127.11574
378589  41 115.37504
307823  44  59.09706
303202  52  76.89360
452445  55 141.77517
159137  43  70.90959
451436  27 200.54326
232410  43  97.49329
307670  46  99.68946
159052  30 186.87668
155165  43  81.28325
13246   48 160.64248
158241  33  63.96669
379243  29  87.98103
9196    24  73.77574
450568  52 145.14360
7781    50 141.77517
10997   24  76.89360
153426  42 123.90857
80273   53 118.88436
374547  49 279.19750
85217   46  54.59815
377128  40 154.68529
158403  41 180.03020
228131  41 118.88436
452170  36  87.98103
154530  34  91.69923
81780   24  59.09706
378629  44 123.90857
305370  33 109.83399
301646  25  94.07271
12249   40 117.14682
302635  48  65.11085
8793    56  97.49329
12032   25 118.01975
13257   44 141.77517
156095  27 116.17670
232674  58  75.35568
378952  52  95.23071
304280  60 111.72085
376160  39 103.90247
86736   51 147.11669
305599  31  87.98103
9903    45 118.88436
13558   43 100.76427
378086  45 120.58944
80963   40 193.86688
376772  46 118.88436
453319  51 267.90109
231608  47 174.40288
87803   52 133.97150
154604  31 154.68529
304641  40 154.68529
452853  26 118.88436
85681   49  95.23071
452452  38 109.83399
8297    50 111.72085
233667  63 134.70538
377125  35  85.90104
380656  29 118.88436
374314  33  87.98103
306069  29  92.89584
306727  62 109.83399
379612  45 124.72045
153785  56 127.90123
157154  58  97.49329
306904  39 198.35029
9761    49  92.89584
86702   24  94.07271
158105  61 148.41316
379806  58  79.85490
449268  47 118.88436
83615   41  87.98103
378890  71  94.07271
230899  47 150.07048
9311    38 176.98965
7750    31  73.77574
302750  56 125.12382
231066  44 277.79948
157343  33 107.90392
9952    36  60.73978
233281  31  92.03632
86503   55 109.83399
14172   48  66.96164
14341   50 114.47571
231725  42 170.69513
377627  25 130.98218
375298  55 127.11574
84172   28 117.14682
154047  30 123.08970
375008  46 120.58944
86259   48 130.98218
230737  42  81.28325
378052  23  36.67370
155909  60 104.92151
375457  34  74.41296
155588  45 129.06782
306550  28  84.10001
82560   33 185.91866
379734  58 105.92781
376576  47 163.51586
158927  24  63.18886
374739  56 134.70538
83417   56 120.92670
14351   23  94.07271
159265  56 132.48782
157150  45 133.23235
451548  58 145.14360
302614  30 118.88436
453033  46 150.33065
84994   48 278.96447
227948  50  98.26923
380920  43  99.68946
231461  37  94.07271
160102  49 176.98965
449353  31 166.32494
448411  54  94.07271
306810  52 139.70307
155681  70  78.39247
10055   30 141.77586
233682  44 116.26532
157882  34 148.41316
302173  38  87.98103
231216  28  90.48191
9850    38 141.77517
161403  39  63.09272
377645  52  65.11085
84260   34 151.59148
155985  33 123.08970
306353  45 118.88436
228023  58  79.85490
156832  38 104.00496
304488  63  55.53610
305737  38  99.68946
303148  31  99.68946
302080  53 193.45261
447857  21 102.87025
233741  38 164.64699
85657   18  69.61904
379124  28  99.68946
157694  33 114.47571
83479   32  99.68946
450888  29  95.23071
14252   28  82.67964
14421   42 116.94308
301908  28  54.59815
452061  36 138.29913
304906  47 130.98218
302424  53 281.74597
159404  48 163.51586
231750  36 179.21486
305745  55 126.32388
376178  37  70.47602
450343  68 118.01975
160548  65  71.31964
302678  37 114.47571
302085  33 138.29913
159635  19  54.59815
81174   50  94.07271
82948   22  80.43021
82251   40  89.24288
379828  45 117.14682
450063  36 127.11574
9535    37  81.28325
154111  24  52.40706
305404  66  99.68946
85550   35  63.18886
447980  33 196.12527
14481   44 101.82435
85819   48 107.90392
450651  47  51.23965
82222   41  99.68946
12508   55  63.18886
377741  74 148.41316
302139  33  99.68946
153833  62 130.98218
85624   56 101.82435
230790  29  99.68946
449764  56  79.85490
449202  47 160.64248
13741   45 134.70538
302523  44 160.64248
81623   25  91.69923
13718   45  75.35568
10378   40 136.15771
161366  56 134.70538
9215    56  81.98532
157493  47 176.98965
302363  39 118.88608
11991   38 121.26275
449684  48  94.07271
11238   44  99.68946
159751  42 123.90857
452407  55 118.88436
233537  61  82.67964
229847  39  81.28325
9864    30 104.92151
447299  49  99.68946
231895  33 136.15771
230128  31  81.28325
12999   35  68.50869
160782  55  81.28325
379257  36 114.47571
161228  37 118.01975
232829  33  99.68946
234092  48 118.88436
84421   47 118.88436
157953  60 123.08970
86497   28 109.83399
7737    28 102.87025
13471   48 163.51586
448820  29 117.14682
85643   40  92.30006
453480  32 100.01349
85241   33  55.06973
156206  40 101.82435
84713   42 148.41316
155666  36 115.37504
83567   39  73.77574
449541  44 267.90109
448368  43 129.45364
377037  44  96.37065
231115  29  87.98103
305375  49 104.92151
303226  47 130.98218
85015   46 190.54768
228219  41 118.01975
379558  52  79.85490
160043  43  72.47932
82149   38 148.41316
156798  42  74.44464
9029    56 118.88436
157633  39 128.68049
9820    29  87.98103
448635  33 267.90109
81776   33 104.92151
86230   41  92.89584
84040   44  70.47602
11619   45 200.54326
87714   58 102.87025
14549   29 102.87025
83620   42  65.11085
378744  68 109.83399
10047   47 127.11574
11784   30  94.07271
12453   39  67.86252
378962  42 125.52550
230457  49 165.20877
447527  36  81.28325
154701  44 112.64890
453719  54  76.89360
153784  42  75.04315
160819  39 128.68049
380247  30  59.09706
81823   33  63.77339
155141  28  84.04596
156716  38  93.93718
7546    30  82.67964
374359  25 118.88436
301939  52  81.28325
306511  26  66.96164
452755  54 166.32494
8667    62  99.68946
450499  57 141.77517
156050  32 143.13494
160046  60  35.03342
87749   40 109.83399
8363    49 111.01441
234293  54 132.48782
448089  48 148.41316
453187  35  73.77574
447835  46 143.69971
307486  42  99.68946
82464   58 272.29478
155315  30 200.54326
380158  27  85.38659
375387  55 109.83399
85776   50  61.05242
229893  55 118.88436
229973  40 145.80516
13960   32 112.64890
234361  27 106.92181
301929  49 106.92181
306789  50 127.11574
230376  50  87.98103
380304  44 144.47809
306501  57 160.40970
376743  72  87.98103
230371  23  65.11085
304137  31 176.98965
374823  36  54.59815
451590  63 109.83399
227916  48  81.69842
7993    46 114.47571
159388  55 142.63447
304858  44 160.64248
230749  44  94.07271
86325   32  54.59815
154901  60  73.77574
81954   42 160.64248
451332  48 148.41316
379839  36  87.98231
449978  31 101.82435
233080  54 111.72085
307530  29 106.92181
161327  46 126.32388
158949  35 109.83399
448811  50  92.89584
11623   25  54.59815
10265   33  96.37065
379315  34 114.47571
230661  51  94.07271
81295   33  95.23071
305243  59 139.00341
228627  62  81.28325
13060   28  94.07271
375312  40  87.98103
156535  52 138.29913
304223  29  89.49248
307620  34  92.89584
85969   25  54.59815
13360   66  94.07271
11113   43  68.74809
305667  45  92.89584
234017  35 114.47571
12837   43 109.83399
302321  49 109.83399
81373   60  77.04520
160726  46  94.07271
452148  55 101.82435
229256  32 118.88436
306650  53 133.23235
452276  57 157.10350
302510  51 281.74597
81228   59 182.02062
228440  45 119.09923
228053  56  71.68674
10471   30  85.38394
231759  21  72.15046
155837  60 138.29913
302024  60 101.82435
301193  48 109.83399
158905  39  87.98103
453630  32 115.37504
303454  51 191.57368
228501  47  86.69515
304450  44  75.85224
378489  46 166.32494
86991   28  56.90554
153315  24  99.68946
231642  37  92.89584
234448  31  99.68946
80744   72  92.89584
374333  50 101.82435
304748  36 145.14360
232443  27  76.89360
451096  27  90.48191
82862   41 127.11574
380709  20  82.67964
376073  49  99.68946
301216  25  64.15923
233939  41  89.49248
451070  53  87.98103
449595  45 127.11574
158200  32  66.96164
9638    47 148.41316
157436  26 123.08970
452319  31 133.23235
302474  32 118.88436
230090  50 120.16612
306734  46 115.37504
234336  47 112.64890
8827    55 118.88436
8301    49 148.41316
85748   25  61.18753
376569  60  95.68881
378593  62  89.24288
158180  63 127.90123
82969   31 128.68049
228806  29 109.83399
380329  51 114.47571
304795  28  76.12970
14455   36 123.08970
304663  28  99.68946
87070   38 102.87025
380220  35  96.37065
12400   46 117.14682
303868  37  90.48191
7845    41 104.92151
234319  59  73.77574
233042  51 107.90392
233381  26  99.68946
157856  34  60.15412
82387   32 123.08970
301852  23  81.28325
82525   50 143.13494
449130  25  69.09818
84343   43  78.98167
452636  36 128.68049
233211  50  54.59815
233851  34 134.70538
12233   34 104.92151
12501   55 277.60142
153789  39  78.21458
87826   40  82.67964
8875    32 117.14682
229950  63 118.88436
85730   38 109.83399
377504  67  59.09706
13650   39 116.26532
155246  31  61.18753
227999  41 114.47571
157775  47  78.39247
453565  61 122.26367
8927    61 148.41316
380898  21  54.59815
85375   22  66.04469
153469  53 126.95789
83341   47  81.28325
8279    36 127.90123
307337  36  87.98103
13148   42 123.08970
84841   54 104.92151
85515   27  87.98103
86629   36 131.73780
231027  35  73.77574
157246  60 104.92151
13588   42  91.60262
376203  41 123.08970
83057   35 131.65270
230814  34 309.57177
305515  22  70.66105
307267  47  84.85204
88046   59 102.87025
302698  29 103.90247
232536  32  94.07271
158406  49 128.68049
452654  30 106.32686
155330  33  99.25529
307313  51 133.23235
159448  37  78.39247
155833  46 130.98218
307280  63 109.83399
7401    41  96.37065
11845   40 109.83399
307683  46 281.74597
8589    45  94.07271
375802  48 200.54326
305144  28  87.98103
453214  65  87.98103
8360    50  97.49329
377324  53 107.90392
302793  48  95.68881
154537  30 109.83399
232060  37  87.38745
83048   51  88.83157
376922  55 166.32494
87672   35  94.69570
234303  33 122.26367
374328  41 132.48782
158629  34  96.37065
231349  33  89.24288
377297  49  81.28325
230086  62  73.77574
81256   31 109.83399
306063  43 100.09966
378700  43 134.26568
86261   43  91.69923
450507  48 109.54730
159849  48  70.47602
301682  50 144.20474
448787  29  99.68946
82646   52  94.07271
81754   46  87.98103
14268   40  94.07271
85704   43  81.28325
233733  54 115.37504
229393  38 107.90392
83536   32 101.40205
375861  28 144.47942
14368   33 145.14360
85295   44 163.51586
231204  41  81.28325
13498   31  40.40567
302692  48  97.49329
307635  50 117.14682
83924   47 118.88436
80239   31  84.04596
379220  40  88.81647
453870  54  86.69515
85521   24  75.35568
9738    34  98.59934
157529  65  87.98103
307581  28 109.64297
380007  30  79.85490
453715  45 166.32494
381016  35 139.00341
8356    46 145.14360
156461  47  85.38394
380325  71  99.69163
156598  39 130.98218
450872  41  68.74809
305335  33 139.70307
449727  76 176.98965
452029  20  76.89360
232822  34 134.70538
158958  26  99.68946
233370  51 148.41316
161344  25  79.85490
233394  62 128.68049
233584  37 180.77995
448801  37  94.07271
302882  32  89.49248
306349  55 130.22083
452162  36  77.49768
231483  39 148.41316
82643   46 185.28332
305066  48 128.68049
11473   34 147.11669
86233   39 106.92181
12787   50 115.37504
233174  54  91.69923
303344  60 148.41316
307057  48 111.72085
301337  47 126.32388
81731   20  65.11085
157918  60 107.90392
160058  37  54.59815
159843  46 134.70538
157233  54  72.47932
231489  51 130.98218
452313  32  91.69923
233665  35 154.68529
157818  46 114.47571
376459  38  87.98103
13375   62  80.57320
154265  47  94.07271
156078  28 141.77517
303231  61 145.14360
159873  26  94.07271
228330  49 127.11574
451634  28 113.56709
159186  61 101.59554
160564  42 134.70538
447672  31 127.11574
452613  50  87.98103
12504   44  78.39247
302206  46 318.34243
234624  54  82.67964
159256  40  97.49329
14460   38  87.85355
233287  43 184.16714
452861  43 109.83399
88065   30  95.23071
7550    58  59.09706
302313  60 118.88436
82600   45 130.98218
380306  47 134.70538
13488   47  87.98103
153493  59  67.36898
227880  36  83.32134
378323  39 118.88436
81976   40 105.92781
155452  42  85.38394
450962  29  73.77574
11853   38 139.00341
156191  58 123.08970
87661   18  55.99743
82514   35 141.77517
378030  30 154.07300
157381  48 118.88436
86485   27 114.47571
10930   40 120.92670
307771  34  97.49329
85202   54 141.77517
233889  20  75.04315
7496    50  89.49248
453337  42 198.35029
376076  45  65.26144
160307  59 107.90392
161341  44  81.28325
11390   67  76.89360
301389  26  76.89360
304303  40 140.39820
87441   42 104.92151
12175   22  81.28325
12033   43 140.39820
82301   34  79.85490
83227   44  79.85490
153765  53 268.26629
158059  54 124.72045
375572  55 148.41316
448806  30 118.88436
82280   48 176.98965
153375  48 109.83399
380151  30 127.11574
230950  38 110.78265
14546   25  91.69923
450602  59 104.92151
81692   38 272.29478
158659  40 268.26629
306889  36 163.51586
379968  60 104.92151
10750   40 123.08970
155530  28 118.88436
86633   34 148.41316
378686  39 175.44355
10144   26  96.37065
87286   28  96.93409
87895   27  99.68946
375523  34  99.68946
451283  38 311.93457
14519   51 109.83399
380780  58  87.98103
86239   42 138.29913
10984   32  47.93367
231862  27 104.92151
449495  51  99.68946
448715  50 133.23235
448977  25 115.37504
234530  60 120.92670
86190   62 148.41316
230114  53 120.58944
447347  39 144.47809
155626  23  90.48191
376579  47 148.41316
451819  32 123.08970
155900  57 268.26629
8505    40  78.39247
234613  57 107.90392
11832   31 148.41316
11081   28  89.24288
301246  58 130.98218
375987  47  87.98103
156259  41  70.47602
85655   53 108.68131
448836  27  80.57320
153902  19  65.11085
305415  47  65.11085
9743    44 118.88436
230054  32  73.77574
12519   23  54.59815
227962  31  66.22941
83739   42 272.29478
157490  50 134.70538
82456   52  46.76327
159012  20  76.89360
88116   33  81.28325
376549  26  99.68946
87170   40 166.32494
11435   29  94.07271
85129   35 114.47571
448698  34  87.98103
154709  37 118.88436
379618  37 161.91495
161267  22  73.77574
380753  39  99.68946
153467  42 103.90247
231484  44 108.87453
379211  45 107.90392
156236  42 141.77517
450978  52 160.64248
84773   27 112.18612
449829  46 169.07354
305946  59  96.37065
12507   52  81.28325
154311  19  54.59815
154975  64 107.90392
307420  38 136.87637
228741  45  65.11085
376605  53 179.52809
304583  28  66.22941
159573  39 104.92151
375743  52 176.98965
449387  41 114.47571
83565   44  76.89360
7664    48  94.07271
157200  47 127.11574
230665  31  94.07271
12813   28 103.90247
302409  45  99.68946
83416   56  87.98103
83964   47 136.15771
13483   41  94.07271
232794  49  87.98103
447864  28  97.49329
452049  19  43.73511
87163   48 117.14682
157204  47 127.11574
80604   57 272.29478
161272  39 109.83399
87121   45  66.96164
231993  52 127.90123
377133  51 118.88436
449641  46  74.43830
156429  45 143.13494
12311   40  87.98103
379397  48 128.68049
84236   47 121.43031
451645  45  98.59934
8988    49 117.14682
307325  57 109.83399
11919   77  99.68946
11403   48 160.64248
88019   56 118.88436
306940  39 163.51586
155528  44 110.78265
301789  49  87.98103
378048  58  54.59815
8841    46 127.03685
85602   39 123.08970
304529  26  73.77574
157296  61  99.68946
155829  62  94.07271
379034  47  87.98103
153627  40 118.88436
