         year    sex education vocabulary
20080942 2008   Male        12          6
20121587 2012 Female        20          8
19910941 1991 Female        12          8
19760509 1976 Female        12          6
19890117 1989   Male        13          4
20060747 2006 Female         2          8
19890227 1989 Female        20          9
20000310 2000 Female        18         10
20101762 2010 Female        10          4
20120453 2012   Male        16          9
19901248 1990 Female        14          5
19900736 1990   Male        14          6
20140303 2014 Female        16          9
20001193 2000   Male        12          9
20062383 2006 Female        14          5
19981516 1998 Female        14          7
20140674 2014   Male         9          7
19872011 1987 Female        12          6
19821500 1982 Female        11          5
20121823 2012 Female        12         10
19942119 1994   Male        16          5
20121403 2012   Male        10          4
19821426 1982   Male        14          8
20064031 2006 Female         9          8
20060774 2006 Female        13          4
20142514 2014 Female        12          6
19961257 1996 Female        12          6
20042538 2004   Male        12          4
19901121 1990   Male        12          4
19780165 1978 Female        12          9
20141759 2014 Female        15          7
19871131 1987   Male         9          1
19980529 1998 Female        18         10
19780461 1978 Female        12          3
20101729 2010   Male        12          8
19880729 1988 Female        11          1
20081031 2008   Male        16          3
19870614 1987 Female        12          5
19840543 1984   Male         8          8
19942778 1994 Female        10          6
19870661 1987 Female        12          6
20162637 2016 Female        14          8
19942861 1994 Female        18          8
19961954 1996   Male        14          7
19781048 1978 Female        12          7
19870264 1987   Male        13          6
20060043 2006   Male        15          3
20160742 2016 Female        13          3
19780141 1978 Female         9          4
20064451 2006 Female        16          8
20160127 2016 Female        12          6
20100747 2010 Female        18          8
19880232 1988 Female        12          5
20001470 2000   Male        16          6
20160358 2016   Male        16          9
20160374 2016 Female        18          6
19890312 1989 Female        12          7
19870452 1987   Male        19          8
19820656 1982 Female         8          5
19880932 1988   Male        13          5
19942403 1994 Female        16         10
20141561 2014   Male        12          6
19942442 1994   Male        16          6
19870300 1987   Male        12          5
19741438 1974 Female        12          6
19911122 1991   Male        18         10
20120276 2012   Male        14          5
19890634 1989 Female        11          7
19781118 1978   Male        12          8
19900405 1990   Male        12          7
20000294 2000 Female        14          4
19901145 1990   Male        20         10
20041130 2004 Female        12          7
20041117 2004   Male        14          6
19961563 1996   Male        13          6
19930147 1993   Male        20          5
19931241 1993 Female        12          5
19880129 1988 Female        16         10
19962657 1996 Female         8          6
20140922 2014 Female        13          6
19781461 1978   Male        12          6
19910978 1991 Female        11          3
19840287 1984 Female        16          8
19930102 1993   Male        15          7
19781154 1978   Male        18          9
19931584 1993   Male        12          3
20142402 2014 Female        11          5
20064265 2006   Male        16          5
20141929 2014 Female        17          5
19940505 1994 Female        10          5
19981301 1998 Female        10          7
19941190 1994 Female        12          7
19780404 1978 Female        11          6
19841449 1984 Female        11          7
19941827 1994 Female         9          4
19900307 1990 Female        18          8
20142012 2014 Female        14          5
19960084 1996 Female        12          7
19880649 1988 Female        12          7
19870941 1987 Female        20          9
20081194 2008   Male        16         10
20041852 2004   Male        10          4
19820636 1982 Female        14          7
19760524 1976 Female        16          6
20063437 2006   Male        16          8
19982373 1998   Male        13          5
19820779 1982   Male        12          2
19760448 1976 Female        12         10
19780410 1978   Male        10          5
19900735 1990   Male        12          7
19820769 1982   Male        11          5
19872154 1987   Male        17          6
19822004 1982   Male        12          5
19870271 1987 Female        16          7
19821149 1982 Female        12          6
19940804 1994 Female        13          6
20080312 2008 Female        13          4
19740854 1974 Female        10          6
19960228 1996   Male        16          8
20121422 2012 Female        17          4
19900302 1990 Female        12          7
19741480 1974   Male         9          4
19781334 1978   Male        12          5
19880861 1988 Female        10          5
19820318 1982   Male        16          8
19781135 1978 Female         8          3
19840605 1984 Female        12          5
19840772 1984 Female        12          2
19781108 1978   Male        15          4
20161569 2016   Male        20          7
19881121 1988 Female        12          7
19942202 1994   Male        11          6
20040537 2004   Male         9          4
19780103 1978   Male        12          7
19780718 1978   Male        12          4
19760073 1976 Female        12          5
20141705 2014   Male        11          6
20040103 2004 Female        16          7
19761725 1976 Female        12          6
19941500 1994 Female        15          8
19940007 1994 Female         9          5
19900400 1990 Female        11          7
20161998 2016 Female        17         10
19820989 1982   Male        12          7
20100402 2010 Female        14          6
19760646 1976 Female        12          5
19910247 1991   Male        10          5
19781408 1978   Male        12          5
19822032 1982 Female         9          5
20101630 2010 Female        19          7
20042802 2004 Female        14          7
19870575 1987 Female        12          5
19941602 1994 Female         6          9
19761362 1976   Male        12          1
19890907 1989 Female        15          6
20160939 2016 Female        18          7
19982580 1998   Male        16         10
20002313 2000 Female        12          4
19880397 1988 Female        14          8
19910471 1991   Male        12          7
20162199 2016   Male        12          9
20120191 2012   Male        12          9
20160221 2016 Female        12          5
20100335 2010 Female        12          3
20080817 2008   Male        16          2
19870591 1987 Female        13          8
20064069 2006 Female         5          1
20161745 2016   Male         6         10
19871425 1987   Male        19          7
19910173 1991   Male        11          5
20100320 2010   Male        20          4
19761171 1976   Male        12          5
19891353 1989   Male        14          4
19930694 1993 Female        16          4
19820370 1982 Female        12          5
19962737 1996   Male        13          3
20160956 2016   Male        12          5
20161880 2016   Male        18          5
19820986 1982   Male        12          5
19960872 1996   Male        17          2
19900805 1990   Male        16          5
20040198 2004   Male        12          8
19870630 1987 Female        12          6
19940353 1994 Female        11          7
19820837 1982 Female        13          8
19900085 1990   Male        14          3
20060496 2006 Female        13          2
19941174 1994   Male        16          7
19760497 1976 Female        12          7
20080915 2008   Male        14          7
19911060 1991 Female        12          7
20161451 2016   Male        12          6
19871067 1987 Female        10          6
20101863 2010 Female        16          5
19761330 1976 Female        13          4
20121594 2012 Female        12          5
19940486 1994 Female        14          6
20162812 2016 Female        16          4
19881385 1988 Female        12          7
20101388 2010 Female        12          6
19870880 1987 Female        16         10
19980056 1998   Male        20         10
20101360 2010 Female        15          3
19760727 1976 Female        16          8
20041733 2004 Female         8          2
20041480 2004   Male        14          0
19940069 1994 Female        16          8
19930400 1993   Male        16          6
19961774 1996   Male        15          6
20141559 2014   Male        15          7
19840884 1984 Female        13          9
19840602 1984 Female        15          7
19911135 1991   Male        12          6
19881387 1988   Male        12          5
20120582 2012   Male        17          8
19821004 1982 Female        13          6
19941474 1994   Male        14          6
19930060 1993 Female        16          1
19961864 1996   Male        12          6
20001670 2000   Male        14          6
20161285 2016   Male        20          7
19840936 1984 Female        14          6
19841203 1984 Female        12          5
20081515 2008 Female        16          7
20101103 2010 Female         9          2
19780537 1978   Male        20          8
20160566 2016 Female        12          6
19820059 1982   Male        14          6
19781471 1978   Male         8          5
20141383 2014 Female        16          9
19942126 1994 Female         8          6
19820298 1982   Male         9          4
19890594 1989   Male        14          6
20162834 2016   Male         8          4
19880312 1988 Female        11          8
19890758 1989 Female        13          5
19820074 1982   Male        12          3
20001819 2000 Female        12          6
19821243 1982   Male        14          6
20160148 2016   Male        14          7
20140100 2014   Male        11          1
20142212 2014   Male        13          4
20060183 2006   Male        16          8
19900108 1990 Female        18          8
20080646 2008 Female         9          4
19740341 1974 Female        12          7
20142056 2014 Female         8          5
20161964 2016 Female        11          4
19891017 1989   Male        12          4
20062447 2006   Male        14          6
20081267 2008   Male        12          8
20041849 2004 Female        12          8
19940629 1994   Male         9          4
19941508 1994   Male        12          6
19880119 1988 Female        12          7
20041196 2004   Male        12          4
20100682 2010   Male        10          4
19930259 1993   Male        16          7
19942461 1994 Female         8          7
20002045 2000 Female        14          6
19781452 1978 Female        14          7
19890413 1989 Female        14          5
19910414 1991 Female        14          5
19761421 1976   Male        16          9
20141666 2014   Male        13          5
20101355 2010   Male        11          6
20121179 2012   Male        14          4
20141808 2014   Male        11          4
19761018 1976   Male         9          2
19900482 1990 Female         8          7
19960597 1996   Male        16          4
19780268 1978 Female         8          3
20081694 2008 Female         9          4
20061673 2006 Female        18          9
19760117 1976 Female        10          6
19940918 1994 Female        15         10
20141117 2014   Male        16          5
19741272 1974 Female        12          3
19871401 1987 Female        14          5
19941790 1994   Male        17          8
19981448 1998   Male        13          4
19870446 1987 Female        12          5
19911229 1991 Female        16          6
19891425 1989   Male        15          8
20142095 2014 Female        12          7
19780848 1978 Female        12          6
19760684 1976 Female        10          5
20160521 2016   Male        13          4
19930611 1993   Male        16          7
19900076 1990 Female        14          8
19820765 1982   Male        12          9
19760181 1976   Male        12          6
20001675 2000 Female        12          5
19962444 1996   Male        20          8
20161578 2016   Male         9          6
19981045 1998 Female        12          6
19760526 1976 Female        18         10
19820515 1982 Female        12          6
19940572 1994 Female        12          8
19740059 1974 Female         9          4
19930549 1993 Female        13          7
20162654 2016   Male        14          3
20141877 2014 Female        12          9
20042385 2004   Male        12          5
19820543 1982 Female        14          7
19940601 1994   Male        16          6
20040850 2004   Male        14          5
19931456 1993 Female        14          2
20160073 2016   Male        11          5
20042190 2004 Female         9          7
19901347 1990 Female        14          7
19780660 1978 Female        12          3
19841159 1984 Female        12          6
20120397 2012   Male        18          9
19930278 1993 Female        14         10
19941609 1994   Male        14          8
20040928 2004   Male        16          7
20063455 2006   Male         8          8
19820303 1982   Male        12         10
20101767 2010   Male        15          6
20142241 2014   Male        12          2
19962897 1996   Male        16          8
19941822 1994   Male        12          2
19821382 1982 Female        12          8
19740056 1974   Male        14          3
20121019 2012 Female        10          8
19781164 1978 Female        11          3
19740694 1974 Female         8          3
20141874 2014 Female        18          4
19871353 1987 Female        12          6
19820577 1982 Female        10          6
19910060 1991 Female        12          6
19931380 1993   Male        12          6
19930180 1993 Female        13          7
19942505 1994 Female        13          5
20101616 2010 Female        12          7
19760211 1976 Female        12          6
19961295 1996 Female        12          4
20040682 2004   Male        14          8
20001629 2000 Female        12          5
20001943 2000 Female        12          9
19940380 1994   Male        13          6
20160680 2016   Male        16          8
19910198 1991 Female        16         10
20101743 2010 Female        17          7
20063057 2006 Female        12          5
20162662 2016 Female        10          4
20120836 2012 Female        13          6
19940117 1994   Male         8          6
19740247 1974   Male        17         10
20060346 2006   Male        17          8
20042362 2004 Female        14          6
19821298 1982 Female        16          7
20000843 2000 Female        14          6
19960716 1996   Male        12          6
19881393 1988 Female        14          4
20000315 2000   Male        13          7
20100838 2010 Female        14          9
20041881 2004 Female        19          9
19890542 1989 Female        10          4
19780978 1978 Female        12          8
19900878 1990 Female         8          2
20141331 2014   Male        12          3
20081708 2008 Female        11          7
20063202 2006   Male        13          8
20160087 2016 Female        16          8
20161793 2016   Male        12          6
19981117 1998 Female         9          5
19740898 1974 Female        16          9
19881445 1988 Female        11          5
19870855 1987 Female         9          3
19780637 1978 Female        12          9
19741322 1974   Male         9          4
19900019 1990 Female         8          6
19881459 1988 Female        14          6
19820860 1982 Female        14         10
19982110 1998   Male        12          7
19901338 1990 Female        12         10
20142541 2014   Male        14          8
20001260 2000 Female         2          3
19881073 1988 Female        12          6
19823004 1982 Female        11          4
19780573 1978 Female        15          7
20161862 2016 Female        16          6
19900437 1990 Female        12          6
19961616 1996   Male        16          4
20060724 2006 Female        13          9
20120623 2012 Female        14          7
19962092 1996 Female        16          7
19740336 1974 Female         6          3
20140283 2014   Male        19          9
20064353 2006 Female        16          8
19900595 1990   Male        12          3
19761676 1976   Male        12          7
19760035 1976 Female        14          7
20100439 2010   Male        13          5
20100801 2010   Male        16          8
20001330 2000   Male        12          4
19781115 1978   Male        12          5
19890216 1989   Male        12          5
20060580 2006 Female        14          7
20140311 2014 Female        15          6
20041066 2004 Female        16          5
19841181 1984 Female        12          6
20000677 2000 Female        10          7
19870939 1987   Male        16          6
20160048 2016   Male        16         10
19820384 1982 Female        11          5
19910922 1991   Male        14          7
19870027 1987 Female         6          3
19761684 1976 Female        12          5
20100711 2010 Female        12          7
19942874 1994 Female        14          7
20002138 2000   Male        17         10
19910433 1991   Male        16          8
20162215 2016   Male        12          3
20061075 2006 Female         7          8
19890496 1989 Female        12          5
20142196 2014   Male        13          7
20000804 2000   Male        12          5
19741078 1974 Female        12          3
19980398 1998 Female        12          1
19910771 1991 Female         8          3
19761142 1976   Male        12          6
19960004 1996 Female         6          5
20160240 2016   Male        12          3
20041781 2004 Female        16          6
19961185 1996 Female        18          8
19841217 1984   Male        11          4
20080258 2008   Male        16          5
20001112 2000 Female        15          6
20100798 2010   Male        16          9
20000891 2000 Female        12          5
19940684 1994 Female        18          5
19941395 1994 Female        13          7
19900436 1990   Male        12          6
19930883 1993 Female        15          5
20100087 2010 Female        16          6
20141253 2014 Female        16          6
19820028 1982 Female        15          7
20062227 2006 Female        10          9
20160807 2016   Male        16          9
20160773 2016 Female        13          6
19890588 1989   Male         9          4
19901101 1990   Male        16          9
20142247 2014   Male        16          8
19780297 1978 Female         5          3
20141515 2014 Female        12          7
19890390 1989 Female         8         10
19960223 1996 Female        18          9
19960492 1996   Male        13          3
20042116 2004 Female         8          2
19910301 1991   Male        12          5
19820201 1982   Male         8          5
19890103 1989   Male         4          0
19982302 1998   Male        12          8
19760272 1976   Male        12          7
20101697 2010 Female        16          7
19840253 1984 Female        12          8
19960513 1996   Male        12          6
19781220 1978   Male        12          7
19880852 1988   Male        12          6
19981956 1998 Female        12          7
19870135 1987   Male         8          5
19982811 1998   Male        12          3
19940939 1994   Male        15         10
20141632 2014 Female        13          7
20101940 2010   Male        17          6
19891531 1989 Female        14          3
19880311 1988 Female        16          6
20100677 2010 Female        13          7
19930923 1993   Male        12          9
19880399 1988 Female        14          9
19780029 1978 Female        12          4
19760511 1976 Female        14          6
20040544 2004 Female        12          6
20002058 2000   Male        18          6
20140073 2014 Female        16          7
19872133 1987   Male        16          7
20141372 2014 Female        13          7
19823152 1982 Female        12          5
20080926 2008 Female        16          7
19840626 1984   Male        12          4
19740938 1974 Female        12         10
20120076 2012   Male        12          5
20040301 2004 Female        16          6
20141784 2014 Female        12          8
20002568 2000 Female        16          6
20101286 2010 Female        16          5
19891093 1989   Male        15          7
20162848 2016 Female        14          5
19961780 1996 Female        12          5
19761699 1976 Female        12          4
19821483 1982 Female         7          2
19962724 1996 Female        12          4
20062248 2006   Male        12          9
20120320 2012 Female        12          5
19900016 1990 Female        12          2
20081229 2008   Male        16          6
19760301 1976 Female         8         10
19982042 1998 Female         9          3
19890837 1989   Male        13          7
19962711 1996   Male        12          6
20140473 2014 Female        14          5
19823056 1982 Female         6          4
19891416 1989 Female         8          1
20002251 2000 Female         9          5
20063783 2006 Female        18         10
19942625 1994 Female        14          5
20100609 2010   Male         8          9
19942877 1994 Female        12          6
19941637 1994 Female        11          7
19910929 1991 Female        13          4
19891098 1989   Male        16          9
19780809 1978 Female        12          7
19871459 1987 Female        12          9
19870776 1987 Female         6          1
20063979 2006 Female        12          3
20080131 2008 Female        16          2
19781434 1978 Female        12          5
19942289 1994 Female        12          8
19980318 1998   Male        18          6
19941835 1994 Female        16          7
19900687 1990 Female        13          5
19911207 1991 Female        16         10
19740356 1974   Male         7          7
20140706 2014   Male         7          1
19761213 1976 Female         8          5
19941893 1994   Male        14          5
20100243 2010 Female        16          6
19980383 1998   Male        13          4
19911109 1991 Female        15          7
19961361 1996   Male        19          9
20080670 2008 Female         0          3
19820644 1982   Male        12          4
20160429 2016   Male        10          6
19940282 1994 Female        16          4
20141162 2014   Male        14          5
20121776 2012   Male        11          6
20062108 2006 Female        16          8
20002533 2000 Female        11          5
20000728 2000   Male        11          4
19761021 1976   Male        11          4
19911073 1991 Female        13          9
19960031 1996 Female        20         10
20141730 2014   Male        12          5
20041813 2004 Female        12          6
20042553 2004   Male        12          6
19940111 1994   Male        14          9
19780709 1978   Male        12          6
20080367 2008   Male        12          4
19930220 1993 Female        13          9
19911440 1991 Female        17         10
19740831 1974   Male        16         10
19781514 1978 Female        13         10
19911018 1991 Female        13          7
20063550 2006 Female        14          8
19740145 1974 Female        12          4
19980687 1998 Female        14          5
20121967 2012 Female         9          6
20041448 2004 Female        12          5
19870320 1987   Male        12          5
20101543 2010   Male        10          4
19881207 1988 Female        16          7
19962219 1996 Female        16          7
19911493 1991   Male         6          5
19760086 1976   Male        12          6
20042792 2004 Female        12          5
19960827 1996 Female        13          1
20062072 2006 Female        17          6
19760060 1976 Female        12          3
20041945 2004 Female        12          4
19871427 1987   Male        16          3
19870974 1987   Male        14          6
20100607 2010 Female        16         10
19761427 1976   Male        15          3
19741294 1974 Female        13          9
19890437 1989 Female         9          3
19960546 1996   Male        14          8
19981038 1998   Male        12          6
19870583 1987 Female        13          9
19823239 1982 Female        15          4
19900429 1990   Male        12          5
19940202 1994   Male        12          6
20100837 2010   Male        16          5
19780741 1978 Female        11          4
20002413 2000 Female        12          7
19941350 1994 Female        12          7
20121767 2012   Male        14          5
19960947 1996   Male        16          8
19780955 1978 Female        16          9
19930366 1993   Male        12          7
19821409 1982   Male         8          3
19930047 1993   Male        18          9
19840615 1984 Female        12          8
20142483 2014 Female        18          6
19930666 1993 Female        12          7
20064430 2006   Male        18          8
19820346 1982   Male        11          7
20120140 2012   Male        16          5
19840017 1984 Female         6          3
19820955 1982 Female        16          6
19820548 1982 Female        11          6
19961581 1996   Male        13          5
20042624 2004 Female        12          6
20120571 2012 Female        19          9
20041492 2004 Female        12          8
19940436 1994   Male        12          6
20100149 2010   Male         9          6
19740501 1974   Male         9          5
20161501 2016 Female        18          7
19982616 1998   Male        12          4
19911259 1991 Female        12          4
19740858 1974 Female        11          6
20062153 2006 Female        13          5
19840096 1984 Female        12          5
20161657 2016 Female        12          5
20121963 2012   Male        14          6
20041719 2004 Female        14          5
20042786 2004   Male        14          4
19940171 1994 Female        13          6
20101966 2010 Female        13          6
19820560 1982   Male        11          8
19981704 1998 Female        14          5
19871239 1987 Female         7          1
19931011 1993 Female        16          8
19741385 1974   Male        14          8
19820942 1982 Female        10          6
19760279 1976   Male        12          4
20141687 2014   Male        15          5
19890123 1989 Female        11          5
19942311 1994   Male        12          6
19981987 1998   Male        13          2
19840994 1984 Female        18         10
19942225 1994   Male        16          7
20081452 2008   Male        20          8
19890381 1989 Female        12          5
20101771 2010 Female        12          7
19741045 1974 Female        16          5
20160306 2016 Female        19          5
20061285 2006   Male        12          2
19870622 1987 Female        12          4
20161731 2016   Male        14          3
19890365 1989 Female        17         10
20141780 2014 Female        14          6
20162079 2016   Male        18         10
19740962 1974 Female         8          7
19890611 1989 Female        14          7
19900655 1990 Female        16          4
19890777 1989 Female        12          5
20142351 2014 Female        12          7
19900486 1990   Male        13          7
19960671 1996   Male        16          9
20140805 2014 Female        12          7
20140398 2014 Female        20          7
19841154 1984   Male        10          4
20041952 2004   Male        19          7
19890404 1989 Female        14          6
19961024 1996 Female        12          4
20061020 2006 Female        16          8
20100056 2010   Male        16          5
20120195 2012 Female        12          5
19741086 1974   Male        15         10
19840442 1984 Female        15          9
19891230 1989 Female        12          6
19872204 1987   Male        14          4
20042576 2004 Female        18         10
20040899 2004   Male        14          5
20140050 2014   Male        14          2
20101165 2010   Male        16          5
20064391 2006 Female         6          2
19901293 1990   Male        18          9
19962044 1996   Male        16          9
19761104 1976 Female        12         10
20120344 2012 Female        14          5
20142158 2014   Male        13          5
19941691 1994   Male        17          9
20140718 2014 Female        12          2
19781129 1978 Female        14          6
19841026 1984   Male        14         10
19940968 1994 Female        12          6
19940200 1994 Female        14          8
19911512 1991   Male        12          6
19741188 1974 Female        16         10
20000281 2000 Female        11          4
20161794 2016 Female        18          7
19890507 1989 Female        13          4
20141703 2014 Female        13          8
20060950 2006 Female         6          5
19760055 1976 Female        12          9
20160652 2016   Male        19          6
19840367 1984   Male        12          5
19741095 1974   Male        12          8
19870224 1987   Male        16          4
20042104 2004 Female        16          6
19841298 1984   Male        16          7
19840907 1984   Male        14          2
19740631 1974 Female        12          6
19870346 1987   Male        17         10
20040388 2004 Female        10          1
19741050 1974   Male         8          4
19760428 1976 Female         5          3
19901117 1990   Male        17          6
19940956 1994   Male        15          4
19982254 1998 Female        12          2
20042265 2004 Female        12          7
19761115 1976 Female        12          9
19910869 1991 Female        14          9
20160323 2016 Female        14          6
20162065 2016 Female        13          7
19840547 1984   Male         7          4
19940940 1994   Male        12          3
19740342 1974 Female         8          4
19870148 1987   Male        11          8
19930874 1993   Male        14          6
20060738 2006   Male        12          7
20161073 2016   Male        16          5
19881059 1988   Male        13          5
20141570 2014   Male        14          5
20142333 2014 Female        15          7
20121467 2012 Female        15          9
19941070 1994 Female        15          8
20080209 2008   Male        12          6
20081140 2008 Female        18          5
20002331 2000 Female         8          4
19962212 1996   Male        12          9
19880986 1988 Female        12          7
19740040 1974 Female        16          9
19760523 1976 Female        12          6
19761398 1976   Male         9          6
19740394 1974   Male        10          3
19881218 1988 Female        12          7
19780656 1978 Female        11          7
19962750 1996   Male        11          5
19741128 1974 Female         8          8
19740288 1974   Male         8          9
19820426 1982   Male        16          7
20100493 2010 Female        12          5
20063061 2006 Female        14          6
19870582 1987   Male        12          5
19821242 1982   Male         9          7
19840601 1984 Female        12          4
19760398 1976   Male        14          3
19760335 1976 Female         8          7
19820001 1982   Male         9          5
19760742 1976 Female        12          8
19741293 1974 Female        12          4
19942424 1994   Male        12          8
20080409 2008   Male        11          5
20040476 2004 Female        13          9
19760544 1976   Male        14          9
19740538 1974 Female        14          8
19930267 1993 Female         9          4
19820299 1982 Female         6          6
20041903 2004   Male        14         10
20041027 2004 Female        12          3
20120781 2012 Female        15          7
19880696 1988   Male        20         10
20160132 2016 Female        16          6
20160750 2016   Male        16          8
19741182 1974 Female        16          9
20121153 2012   Male        14          7
20100046 2010   Male        13          5
20042228 2004 Female        12          6
19871085 1987 Female        12          4
19941450 1994 Female        18          5
19911145 1991 Female        11          3
19980825 1998 Female        13          7
20140673 2014 Female        18          7
19841049 1984   Male        12          4
19870546 1987   Male        10          5
20042797 2004 Female        12          4
20061611 2006 Female        13          7
20140865 2014   Male        12          6
19931211 1993   Male        16          1
20101691 2010   Male        12          5
19880048 1988   Male        16          9
19840043 1984 Female        12          5
20140404 2014 Female        20          9
19760108 1976   Male         9          5
19910340 1991 Female        13          9
19930910 1993   Male        18          9
19910548 1991   Male        14          8
20001770 2000 Female         9          5
20062098 2006   Male        17          8
20121925 2012 Female        12          6
20081908 2008 Female         9          5
19761626 1976   Male        13          6
19820919 1982 Female        12          4
19982828 1998 Female        14          6
20120237 2012   Male        17          7
19962655 1996   Male         9          5
19870250 1987   Male        12          6
20120662 2012 Female        12          5
19821217 1982 Female        14          5
19940830 1994   Male        16          9
19740295 1974   Male        14          6
19890847 1989 Female        12          6
19930233 1993 Female        17          8
19780844 1978 Female         8          4
19981717 1998   Male        12          8
19872044 1987 Female        12          6
19841023 1984 Female        12          8
19890770 1989 Female         7          5
20121065 2012 Female        14          6
20160938 2016 Female        17          8
20042644 2004   Male        17          5
20161032 2016 Female        13          7
19960232 1996   Male        14          8
19911377 1991 Female        13          4
20142329 2014 Female        18          6
19781528 1978 Female        10          0
19760538 1976   Male        13          7
19740728 1974 Female        10          5
19980915 1998 Female         9          6
20040492 2004   Male         7          5
20162751 2016 Female        12          3
19781208 1978 Female        12          6
19820357 1982 Female        16          7
20160840 2016   Male        12          6
19901085 1990 Female         8          5
19821219 1982 Female        15          3
19940262 1994   Male        16          7
19960429 1996   Male        10          3
19880812 1988   Male        10          5
20161343 2016   Male        12          7
19942619 1994   Male         9          4
19781083 1978   Male        14          5
19930056 1993   Male        12          5
19981427 1998 Female        14          5
19823097 1982 Female        12          6
19781096 1978 Female         8          4
20063799 2006 Female        14          8
19982385 1998 Female        12          6
19870858 1987   Male        12          9
